chr,start,end,state,GC,CpG,nCGm,LINE,SINE,NLp,ins.std,del.std,sub.std,microsat.std
1,43000001,44000001,1,47.0342,28,7031,626,929,218,-0.99516101,-2.655275131,-1.447603191,-1.326403232
1,44000001,45000001,1,46.9402,19,6188,707,863,270,-1.973625044,-2.372415338,-1.49292868,0.772519672
1,45000001,46000001,1,43.896,21,6305,601,1332,218,-0.032561499,-0.564580769,-1.885789446,-0.277428819
1,46000001,47000001,2,45.3819,20,6725,608,1090,269,-0.540980848,-2.029224878,-0.873219409,1.040280989
1,47000001,48000001,2,44.4158,16,3688,582,748,752,0.314703132,0.264678997,0.13332653,3.121880704
1,48000001,49000001,2,43.5654,4,4726,645,713,950,0.113325176,1.217044796,0.937391522,3.391270448
1,49000001,50000001,2,38.3798,2,1191,704,637,874,1.887041985,1.233859997,2.393176556,1.045546433
1,50000001,51000001,2,39.748,10,3177,644,789,739,1.432889057,0.0218886,-1.170723085,3.30189999
1,51000001,52000001,2,40.2473,8,5594,728,1052,246,0.363035683,1.125113137,0.304679908,4.215087499
1,52000001,53000001,2,42.2777,14,8849,647,1399,136,0.916327939,0.23808228,0.456628019,1.926225849
1,53000001,54000001,2,47.2372,14,6452,663,1112,178,1.938191089,1.188168325,1.572159545,4.149688678
1,54000001,55000001,2,47.2903,16,6992,635,1272,244,0.863772697,0.262168085,1.388210489,2.783990767
1,55000001,56000001,2,43.1834,9,6552,585,831,143,0.743511951,0.386779392,0.015230281,3.012181074
1,56000001,57000001,2,39.9004,3,5657,617,753,191,2.567835044,2.725598138,2.811562602,3.238642057
1,57000001,58000001,2,40.8909,1,6091,583,868,1011,-0.369826966,-0.25112387,-0.010207255,3.258769966
1,58000001,59000001,2,41.0144,3,6487,568,853,900,-0.469899518,0.781946859,0.709419337,3.351052927
1,59000001,60000001,2,41.4763,7,6829,646,802,111,1.248376489,1.299262389,1.147970065,2.585212476
1,60000001,61000001,2,37.9588,3,4450,643,592,900,-0.510345496,-0.624046958,-1.513996144,5.147341988
1,61000001,62000001,2,40.3814,8,5900,447,799,935,1.741600331,0.171178683,0.944813297,2.983374935
1,62000001,63000001,2,40.8215,4,8048,475,1098,645,0.407029029,0.819744362,0.496431028,1.768914051
1,63000001,64000001,2,39.7573,4,5944,584,857,708,1.665563767,1.326724952,0.364583479,3.687640696
1,64000001,65000001,2,40.7361,4,6580,526,781,430,0.480674539,0.370682233,0.740178776,4.337669095
1,65000001,66000001,2,40.2605,10,5627,623,782,619,-1.131307571,0.694140872,-0.20753191,3.425329699
1,66000001,67000001,2,37.7532,3,4434,517,540,181,-0.372012358,0.392486951,-0.217136439,2.159123687
1,67000001,68000001,2,40.0623,7,4824,536,836,376,0.670787305,-0.441888885,0.696434499,3.036779027
1,68000001,69000001,2,39.1082,7,4331,525,564,418,0.217638438,-0.385154768,-0.408154604,2.808816153
1,69000001,70000001,2,36.7613,1,4878,492,363,895,-0.100570945,0.626655487,0.890261343,4.814957158
1,70000001,71000001,2,37.0807,5,5206,476,580,600,0.889847168,0.069927136,1.359698559,3.528425503
1,71000001,72000001,2,36.8359,2,4541,447,410,805,0.09351195,0.069696434,-0.357910973,2.778200315
1,72000001,73000001,2,34.7572,1,4195,414,354,701,1.274000861,1.392723559,1.123060444,3.014882511
1,73000001,74000001,2,35.0763,0,5581,541,269,822,-1.336392684,-1.034726492,1.056913864,2.848009363
1,74000001,75000001,2,36.2412,1,4517,470,363,833,0.867639572,0.873299638,1.012709296,2.728790222
1,75000001,76000001,2,37.3913,8,4287,573,383,802,-0.004962992,-0.554751252,-0.182190264,5.370096077
1,76000001,77000001,2,38.4461,2,5471,557,462,908,0.338677295,1.328046403,0.327670664,2.851585827
1,77000001,78000001,2,38.6291,5,6306,579,571,354,0.183927955,0.284508274,0.237043089,2.358113591
1,78000001,79000001,2,38.168,6,4405,521,584,118,1.051233267,0.219004589,0.01235376,2.190999523
1,79000001,80000001,2,35.587,1,5496,431,340,522,2.049626587,0.414186078,0.651397394,3.548755069
1,80000001,81000001,2,35.1831,0,5617,407,308,784,2.18079176,1.123855731,0.941069747,1.605581094
1,81000001,82000001,2,36.7836,0,6116,383,474,795,-0.546792453,-0.533309258,-0.024721705,3.649682097
1,82000001,83000001,2,36.1165,1,6183,394,428,934,-0.42130055,-1.062636355,0.039303372,3.702478841
1,83000001,84000001,2,37.4098,0,5374,454,349,927,0.556975332,-1.193817908,-0.088719949,3.373629343
1,84000001,85000001,2,37.791,10,5037,529,460,247,-0.130947453,0.356926424,1.171181511,2.138966034
1,85000001,86000001,2,39.9112,12,6110,559,669,184,-0.258606889,-1.64603367,0.448779084,1.919153733
1,86000001,87000001,2,37.4193,4,4135,552,433,480,1.256832233,0.831961778,0.633664644,2.802027781
1,87000001,88000001,2,39.6996,7,6354,429,577,263,-0.080744491,0.508316873,-0.675792482,3.235379592
1,88000001,89000001,2,37.411,2,5787,474,417,622,0.879360866,-0.038459217,-0.696130934,3.521204709
1,89000001,90000001,2,39.1448,4,5624,486,483,601,-0.313135163,-0.461066131,-0.334483016,3.537613253
1,90000001,91000001,2,39.1469,12,4805,553,518,705,-0.689634527,-1.09118261,0.403912226,2.977546928
1,91000001,92000001,2,39.9736,9,5172,506,548,498,1.39124307,0.758868178,1.121051366,1.940226424
1,92000001,93000001,2,39.7378,7,6055,567,949,308,-0.769069544,0.008589303,0.536750562,1.27621905
1,93000001,94000001,2,40.3974,8,6710,603,872,120,-0.705551763,-0.97201441,0.558584896,2.880184638
1,94000001,95000001,2,41.5359,8,5228,486,545,82,0.392870995,-0.837895099,-1.028181649,5.010083391
1,95000001,96000001,2,39.7382,5,6296,465,541,642,-0.282645778,-0.286969558,-0.686659428,2.344272879
1,96000001,97000001,2,37.1022,1,6166,535,397,504,1.989533959,0.873674944,-0.542736389,2.67467446
1,97000001,98000001,2,35.8595,0,4827,500,391,103,0.965204354,1.772170032,2.260212506,2.405922171
1,98000001,99000001,2,35.6908,4,4318,562,363,217,-0.085448635,0.501741627,2.058833564,2.380775631
1,99000001,100000001,2,37.329,2,5331,522,427,589,-0.556820964,-0.426134514,-0.309818281,4.590213045
1,100000001,101000001,1,38.5723,8,6512,620,734,411,-1.6238282,-0.918770783,0.08592294,2.119089117
1,101000001,102000001,1,37.7404,5,5447,550,479,515,-1.346711147,-1.778951975,-1.697102571,-0.11731905
1,104000001,105000001,1,35.1444,0,2903,548,245,636,-1.007913982,-1.406497676,-2.821378989,-1.735253683
1,105000001,106000001,1,34.2918,0,4106,553,257,653,-1.26771072,-1.456104129,-1.413890957,-1.120522358
1,106000001,107000001,1,35.1317,1,4263,489,238,704,-1.958672294,-3.227499502,-1.946769717,0.679386217
1,107000001,108000001,1,37.1337,3,5607,514,398,950,0.875732246,-1.70614408,0.392184736,1.009205914
1,108000001,109000001,1,39.2424,6,4678,566,468,687,-2.1177917,-2.250834027,-1.748745712,-0.454699966
1,109000001,110000001,1,43.8713,24,6650,453,1041,146,-0.58187527,-1.57895714,-1.877711456,-0.151555057
1,110000001,111000001,1,47.2246,18,4416,394,752,463,-2.414767893,-1.926691616,-2.546386533,0.876230622
1,111000001,112000001,1,39.9612,10,4349,582,481,616,-4.076455568,-4.2174588,-3.396644791,-0.795254594
1,112000001,113000001,1,43.3752,9,5529,558,728,616,-1.747343203,-1.017330849,-1.633742884,-0.773703765
1,113000001,114000001,1,41.9431,12,6803,534,905,328,-0.547260897,0.797702787,-1.463934095,1.041085471
1,114000001,115000001,1,41.4443,7,6880,557,824,610,-2.380565698,-1.547235092,-0.789735574,1.724220834
1,115000001,116000001,1,40.4622,6,4555,557,521,421,1.376291745,-0.321576168,0.705803203,-0.991342778
1,116000001,117000001,1,42.1444,10,5704,517,620,851,-0.938737628,-0.896239251,-0.359454399,0.052304599
1,117000001,118000001,1,42.0164,8,6394,605,617,776,-1.223903218,-2.299552577,-1.161239145,-0.384172166
1,118000001,119000001,1,38.3031,2,5092,599,410,698,-2.467848338,-2.032748423,-3.034302941,0.367954811
1,119000001,120000001,1,40.6303,12,4377,473,440,800,-0.205442051,-0.029698949,0.102703535,-0.032855375
1,120000001,121000001,1,36.774,10,3403,433,524,130,-0.373242723,-0.485589309,-0.932080551,0.975246789
1,148000001,149000001,1,43.8694,26,7072,505,1337,120,-1.409306213,-1.181238218,-1.943935731,-0.203862498
1,149000001,150000001,1,45.4726,20,8107,423,1392,133,-0.305059773,-0.902083856,-0.680296275,-1.085514736
1,150000001,151000001,1,42.3629,16,1583,497,453,719,-1.807760024,-1.85287692,-2.241581102,0.985180608
1,151000001,152000001,1,43.8889,7,3928,531,666,663,-0.303574128,0.692543313,-1.018706385,1.549719192
1,152000001,153000001,1,46.1724,24,7144,514,1315,196,-2.891625243,-4.135822861,-3.627736414,-0.198943579
1,153000001,154000001,1,48.1392,39,6808,463,1318,176,-1.655041895,-1.93295616,-1.532301783,1.079216184
1,154000001,155000001,1,49.5706,36,7572,360,1355,151,-3.796332125,-3.322490975,-3.229603307,0.488715104
1,155000001,156000001,1,44.2469,13,5273,484,535,601,-0.264705369,-0.814291797,-0.858489789,-0.192867084
1,156000001,157000001,1,40.1072,6,4133,570,453,738,-1.868337956,-2.890721577,-2.731413507,-0.324586049
1,157000001,158000001,1,38.5983,2,2691,557,330,847,-2.530399427,-2.403033572,-1.11769424,-0.009702343
1,158000001,159000001,1,44.7912,16,5682,467,597,615,-2.597605695,-3.704255634,-3.241762086,-0.019438979
1,159000001,160000001,1,45.7941,24,4352,436,939,409,-1.880434006,-0.803500932,-1.284961253,0.395302087
1,160000001,161000001,1,41.1998,6,5655,565,680,365,-1.171734342,-0.718336016,-1.586534969,0.507774177
1,161000001,162000001,1,38.208,4,5250,543,459,574,-2.326472385,-2.267782079,-1.84505236,0.45833972
1,162000001,163000001,1,38.4672,2,5694,475,458,656,-2.245004884,-0.259555872,-2.069737801,-0.392030591
1,163000001,164000001,1,41.7936,8,4798,478,629,952,-1.168363528,-2.169281931,-3.061512276,0.272510956
1,164000001,165000001,1,40.5324,4,4405,566,502,726,-1.850276673,-1.58924404,-1.478267206,0.075718801
1,165000001,166000001,1,42.2556,16,5793,501,663,847,-1.659737847,-2.43673013,-1.673953418,-0.172420349
1,166000001,167000001,1,40.6611,7,6277,557,640,577,-2.090781377,-1.835955144,-1.522000657,-1.445624632
1,167000001,168000001,1,38.5838,3,4975,562,513,883,-0.783386046,-1.378622348,-1.593048427,-0.743866392
1,168000001,169000001,1,37.7186,5,4912,492,400,239,-0.481697579,-1.532514146,-1.910674381,-1.435622835
1,169000001,170000001,1,39.3387,3,6027,495,642,504,-0.654477028,-3.254752191,-3.691773321,-0.452666815
1,170000001,171000001,1,38.3357,5,6044,517,424,384,-0.883885271,-2.351552136,-1.180330789,2.347142834
1,171000001,172000001,1,39.0435,3,5080,536,405,314,-0.87044972,-1.609061754,-1.525593652,-0.545521483
1,172000001,173000001,1,38.5203,4,5678,570,755,519,0.136201641,-0.488704647,-1.272228993,-0.668784077
1,173000001,174000001,1,42.4693,5,5430,439,600,997,0.568367866,-0.156895346,-0.04725138,-0.866900895
1,174000001,175000001,1,39.016,1,5153,539,502,768,-1.386802127,-2.67063643,-1.826361087,0.557598631
1,175000001,176000001,1,40.5761,3,4798,457,437,1062,-2.233108054,-2.349446249,-2.187901832,-1.739384586
1,176000001,177000001,1,40.5014,5,5767,549,659,193,-0.537997344,-1.813853916,-1.450754939,1.211173098
1,177000001,178000001,1,40.4874,9,5645,599,787,370,-1.23504359,-1.422419566,-2.254940196,1.078927567
1,178000001,179000001,1,40.8804,7,7013,532,757,175,-0.812107561,-2.37614609,-2.107751183,1.471883383
1,179000001,180000001,1,43.7566,12,5285,514,601,686,-0.17606169,-1.754288816,-0.090939282,-1.467259357
1,180000001,181000001,1,42.114,6,5355,552,659,929,-0.084649202,-1.137192883,-0.47044254,0.358729307
1,181000001,182000001,1,41.0237,7,7417,527,743,184,-1.671053063,-1.470729754,-1.786241509,-1.210836195
1,182000001,183000001,1,39.9384,6,5870,569,570,120,-1.841514002,-1.721621389,-1.966516973,-0.586615151
1,183000001,184000001,1,38.827,5,6335,548,612,257,-1.181612487,-1.078508518,-1.5990505,1.412812569
1,184000001,185000001,1,36.6264,2,6712,489,429,320,-1.486094126,-3.005495088,-2.252391175,-0.444168374
1,185000001,186000001,1,36.0128,0,5153,521,375,512,-1.355819202,-0.166100113,-1.463577901,0.245988667
1,186000001,187000001,1,34.4896,0,4604,472,219,584,-0.304388286,-1.994417912,-1.173135962,-1.443503399
1,187000001,188000001,1,34.0247,0,3582,548,254,514,-1.907611534,-2.850573658,-2.311351451,-0.906395779
1,188000001,189000001,1,33.5711,0,3059,503,292,565,-3.056964627,-3.085568889,-2.679345081,0.441380763
1,189000001,190000001,1,34.3437,0,3751,552,245,666,-0.558385825,0.203994253,-0.251674711,-0.184048503
1,190000001,191000001,1,35.2145,0,4530,475,330,484,-1.717052706,-1.550719525,-0.650983031,0.362531022
1,191000001,192000001,1,37.0387,4,6324,527,456,415,-0.116323477,-1.320080579,0.885179424,-0.204390816
1,192000001,193000001,1,34.9099,0,4232,511,278,703,-1.701696642,-0.668931494,-2.485088727,-1.791350854
1,193000001,194000001,1,34.0961,0,3924,541,267,622,-0.746033533,-0.851162025,0.162449839,-2.440059585
1,194000001,195000001,1,34.5599,1,5364,517,246,704,-1.707018672,-1.998114131,-1.304872729,0.765109952
1,195000001,196000001,1,35.5024,3,4452,515,352,562,0.336849442,-1.29837658,-1.115827779,-0.537729232
1,196000001,197000001,1,36.8306,8,4746,513,380,217,-0.338271525,-0.973260114,-1.166465059,0.580607992
1,197000001,198000001,1,35.9948,0,4899,488,351,376,0.276907046,-0.35436392,-1.21100747,-0.19183248
1,198000001,199000001,1,40.7487,10,7106,507,1056,298,-0.648614017,-0.958332269,-1.261149766,-1.242288013
1,199000001,200000001,1,48.6166,17,5277,432,841,219,1.356996863,0.556652527,0.638994922,0.4582657
1,200000001,201000001,1,46.0075,10,6541,481,1045,120,0.356033477,-0.823659015,-1.254278861,0.735269003
1,201000001,202000001,1,46.8901,17,4803,418,1016,135,0.378073034,-1.547490471,-1.58377885,0.030336073
1,202000001,203000001,1,46.5622,11,6266,520,1015,398,-1.363084637,-3.395099822,-1.58157794,-1.737884604
1,203000001,204000001,1,47.3155,19,5908,449,976,490,-1.173728561,-2.177510994,-3.126662857,-0.384699628
1,204000001,205000001,1,40.5144,10,3890,415,703,159,-0.209239387,-0.603183981,-1.196707064,0.458705597
1,205000001,206000001,1,40.7565,9,4310,516,510,626,-1.497487394,-1.900592762,-0.112082661,-1.148906508
1,206000001,207000001,1,43.3357,5,5574,453,563,871,-1.985835596,-3.508199572,-2.296874631,1.501531732
1,207000001,208000001,1,41.7659,4,5742,483,556,795,-1.716664789,-2.146145945,-1.461101953,0.092673348
1,208000001,209000001,1,41.3763,9,5275,475,565,420,-2.038553871,-3.297097762,-2.995255599,-1.962465624
1,209000001,210000001,1,42.0397,10,5009,580,762,593,-0.196364393,-2.333140356,-2.315600507,0.227381433
1,210000001,211000001,1,42.4813,9,6522,548,822,397,-0.462364797,-1.224583159,-2.23963727,1.428347551
1,211000001,212000001,1,41.223,6,6959,494,680,761,-0.891794003,-2.350055435,-1.590751298,0.778628288
1,212000001,213000001,1,40.9007,14,6780,389,529,591,-1.061357933,-0.591770718,-0.785369835,0.666038912
1,213000001,214000001,1,37.3924,3,5412,472,378,216,-1.473496596,-0.975767207,-2.298875633,0.241038846
1,214000001,215000001,1,36.1836,1,4876,398,360,774,0.069895901,-0.527893202,-0.531144617,-0.173912199
1,215000001,216000001,1,37.9315,5,5038,419,537,994,-1.459614609,-2.001965821,-1.650060962,0.469716743
1,216000001,217000001,1,38.4103,5,5324,475,503,607,-0.155264679,-1.636314769,-0.911239565,-0.529572081
1,217000001,218000001,1,37.5323,2,4746,481,372,386,0.375730924,-0.537584019,-0.57059672,-2.68365109
1,218000001,219000001,1,39.8222,7,7576,501,676,797,-1.162186772,-1.781510756,-3.568451302,-0.754473414
1,219000001,220000001,1,39.2392,11,4860,545,429,372,-1.475116644,-2.188680876,-1.392190027,1.416658781
1,220000001,221000001,1,40.6415,6,6227,473,542,178,-0.487320148,0.82412735,-0.721214031,0.151469975
1,221000001,222000001,1,41.4923,8,3901,434,593,302,-0.918580028,-1.192929866,-1.495824522,-0.444909433
1,222000001,223000001,1,42.7922,11,7866,530,1048,93,1.122316634,0.37902567,0.807614336,-0.27168268
1,223000001,224000001,1,39.9237,5,4787,539,584,399,-1.089718575,-0.151456389,-1.062842925,0.183142943
1,224000001,225000001,1,46.7536,19,7266,446,1073,415,0.250046152,-1.26508749,-0.924106631,0.895464386
1,225000001,226000001,1,41.975,12,5928,522,595,462,-2.111313443,-1.243985169,-1.7685753,-0.749409833
1,226000001,227000001,1,50.5495,46,3152,400,482,479,-0.921415479,-2.278053484,-1.992193016,0.021164245
1,227000001,228000001,1,43.9795,8,7799,459,735,895,-0.732622403,-2.252214234,-1.661647922,-2.365808452
1,228000001,229000001,1,44.4947,6,6782,469,530,810,0.014740108,-0.704235852,-1.768237822,-1.165933751
1,229000001,230000001,1,42.5604,11,4130,523,747,714,-1.302060215,-2.809247687,-2.912305196,0.212556817
1,230000001,231000001,1,41.8377,1,5824,414,467,990,-0.61372865,-0.849012724,0.590894589,0.702653257
1,231000001,232000001,1,40.7358,7,8440,486,508,793,-0.217572846,-0.293026462,-0.351743607,-0.717579202
1,232000001,233000001,1,42.4026,8,5109,518,558,717,-1.337121389,-2.081788681,-1.988539034,0.619774984
1,233000001,234000001,1,41.2583,8,8064,450,1049,186,-2.167502565,-1.720371319,-1.38049765,0.897423019
1,234000001,235000001,1,42.7025,11,6353,508,956,669,-2.093316268,-2.30085222,-2.498659801,1.082352847
1,235000001,236000001,1,39.4345,2,8032,507,591,995,0.585441989,0.218026815,-1.38707062,-1.056071524
1,236000001,237000001,1,37.8378,1,7396,482,381,797,-0.562755184,-1.994760294,-1.124396411,1.139653901
1,237000001,238000001,1,37.112,1,6051,485,418,913,-0.542881803,0.475215543,-1.008984916,-0.381876354
1,238000001,239000001,1,40.2285,5,5678,435,733,367,-1.247634524,-1.989423463,-1.112364912,-1.855148533
1,239000001,240000001,1,39.1316,5,6256,523,573,849,-2.108940723,-3.242210041,-2.482888336,0.22181266
1,240000001,241000001,1,40.865,5,6609,515,763,844,-1.463355966,-1.800832599,-1.011943364,-0.119871404
1,241000001,242000001,1,39.2986,7,5828,491,651,225,-0.896653542,-1.69651628,-1.085776054,-0.148245956
1,242000001,243000001,1,41.8831,12,6502,524,730,280,0.259370177,-0.23583198,-0.565996063,1.496797088
1,243000001,244000001,1,44.0715,10,6317,488,951,526,-1.661971796,-2.26869212,-2.937519361,0.414808883
1,244000001,245000001,1,41.3404,6,7267,451,712,225,-1.107621567,-1.268697524,-1.528369824,-0.422917255
1,245000001,246000001,1,41.9371,16,5877,542,684,601,-0.00748648,0.122037351,0.836399433,-0.619905227
1,246000001,247000001,1,37.1965,3,335,552,239,744,0.272776447,-0.354594653,-0.009048209,-0.341192851
10,1,1000001,2,43.3111,36,6480,347,431,82,-0.390814743,0.000555904,-1.114727099,4.299687529
10,1000001,2000001,2,45.8585,24,6445,330,347,617,-0.200632002,0.238246309,0.460150927,2.140986475
10,2000001,3000001,3,40.3557,5,6016,438,353,888,-0.486188228,0.465450198,0.160741757,-2.361596229
10,3000001,4000001,3,44.3604,12,7228,295,535,146,0.860814644,1.366034571,1.52045571,-2.254556899
10,4000001,5000001,3,38.953,1,5389,472,348,142,2.455036329,1.205388119,2.868624575,-0.51538064
10,5000001,6000001,3,41.0846,12,5897,428,511,310,0.650456352,1.14772539,1.760419474,-0.910749391
10,6000001,7000001,3,43.8636,7,6955,465,695,498,-0.199956167,-0.072503033,0.682537722,-0.129005299
10,7000001,8000001,3,42.5877,7,7220,421,671,855,1.005005735,0.086400436,0.742750868,0.165766239
10,8000001,9000001,3,40.1886,5,4625,407,683,834,-0.219776623,-1.136200674,0.398525591,-3.234032436
10,9000001,10000001,3,36.1097,1,4334,563,354,700,-0.339429221,-1.445527745,0.679616379,0.719795624
10,10000001,11000001,2,38.7676,1,6837,446,448,756,-0.137385821,-0.637443913,-0.791215809,1.394325861
10,11000001,12000001,2,43.8817,9,7176,399,664,793,-0.840482884,-1.390384507,-0.554784966,3.691084458
10,12000001,13000001,2,44.8086,5,8751,415,1246,642,-0.019359513,0.39678763,-0.29527248,4.698157667
10,13000001,14000001,2,44.2496,13,7890,426,982,464,-0.147024356,-0.690827023,-0.749843719,3.74430589
10,14000001,15000001,2,42.627,3,6261,426,721,146,0.907010955,0.06674187,0.850058912,3.535198099
10,15000001,16000001,2,42.0944,10,5101,407,858,603,-0.47656545,0.913479061,-0.075459102,3.467693771
10,16000001,17000001,2,39.8779,3,6464,505,665,739,-1.270943561,0.464680057,0.207021,5.753773175
10,17000001,18000001,2,39.9696,5,5003,457,758,186,-0.04331908,-1.046536333,-1.0259901,4.36577158
10,18000001,19000001,2,38.2185,3,4509,367,777,266,-0.945815884,-0.71994681,0.737925346,2.928696958
10,19000001,20000001,3,36.5363,1,4485,541,441,600,-1.362443661,-0.214278469,0.384980456,-1.676212537
10,20000001,21000001,3,37.8619,2,7693,441,447,699,0.824476294,0.312082601,1.761922111,0.314018297
10,21000001,22000001,3,41.0061,9,7715,409,906,621,-0.807382322,0.08258609,-1.092071094,1.361605068
10,22000001,23000001,3,39.6564,10,6297,545,591,557,-1.268867583,-1.471157694,-0.141090874,1.006309553
10,23000001,24000001,3,40.5878,8,4480,518,728,678,-0.834593604,1.081831916,1.597855635,0.462053414
10,24000001,25000001,3,40.4065,2,6158,486,669,692,-0.202817656,1.811703011,2.035560812,1.180297789
10,25000001,26000001,3,39.1599,4,5130,547,676,551,1.147016153,0.977014519,1.81450684,1.281489516
10,26000001,27000001,3,40.0216,6,5277,494,674,831,0.698406735,1.434356072,2.293988867,2.091436782
10,27000001,28000001,3,39.8892,12,6783,494,850,508,-0.573032952,0.715144365,0.665922699,0.850173875
10,28000001,29000001,3,39.732,5,5723,510,755,487,0.304308489,-0.055937723,0.468362473,0.572380339
10,29000001,30000001,3,42.6596,4,7030,359,782,385,1.022053821,0.165486475,1.11113591,-0.325225161
10,30000001,31000001,3,43.4209,4,5510,457,946,102,-1.416773735,-0.911507007,-0.259271023,-2.183699615
10,31000001,32000001,3,40.4623,5,4646,494,510,65,-0.154617384,-0.20585172,0.58611428,-0.153239731
10,32000001,33000001,3,40.2294,6,5914,583,762,104,-0.300742018,1.214648011,2.476317204,0.437773092
10,33000001,34000001,3,40.3686,3,6206,459,509,79,0.543903591,1.76216583,2.012158882,-0.065733704
10,34000001,35000001,3,40.4955,0,8045,297,648,81,-1.771181817,-0.131233124,2.073645488,0.37653106
10,35000001,36000001,3,43.1688,7,6796,415,1075,68,1.520140948,2.000782772,3.107622298,2.484292298
10,36000001,37000001,3,39.0584,1,5166,503,564,114,0.077661348,0.064492364,1.180070445,-0.182845383
10,37000001,38000001,3,38.751,2,1066,490,646,565,-0.619426682,0.205835089,0.661016007,0.396244583
10,38000001,39000001,3,38.5935,10,1285,542,588,460,0.241247908,0.850208273,1.529889048,-0.477015096
10,42000001,43000001,3,43.3167,15,3152,561,487,438,1.226775932,0.797845191,1.762565914,1.42842118
